gl_journal_line_id,gl_journal_header_id,line_num,status,line_type,description,code_combination_id,total_dr,total_cr,total_ac_dr,total_ac_cr,reference_type,reference_key_name,reference_key_value,ef_id
,2,1,U,,,501-502-0000-100010-3100-501,400000,,400000,,,,,
,2,2,U,,,501-502-0000-101011-3100-501,4000,,400000,,,,,
,2,3,U,,,501-502-0000-101103-3100-501,20000,,20000,,,,,
,2,4,U,,,501-502-0000-101950-3100-501,12000,,12000,,,,,
,2,5,U,,,501-502-0000-103000-3100-501,30000,,300000,,,,,
,2,6,U,,,501-502-0000-103005-3100-501,60000,,60000,,,,,
,2,7,U,,,501-502-0000-103100-3100-501,90000,,90000,,,,,
,2,8,U,,,501-502-0000-103110-3100-501,45000,,45000,,,,,
,2,9,U,,,501-502-0000-104000-3100-501,2000,,2000,,,,,
,2,10,U,,,501-502-0000-221100-3100-501,,663000,,663000,,,,
