sys_value_group_line_id,sys_value_group_header_id,code_value,code,description,account_qualifier,status,parent_cb,parent_line_id,effective_start_date,effective_end_date
,4,101001,101001,Payroll - Clearing Account,A,active,,,,
,4,101011,101011,A/R Clearing Account,A,active,,,,
,4,101012,101012,A/P Clearing Account,A,active,,,,
,4,101013,101013,Cash - BoA - USD,A,active,,,,
,4,101101,101101,Cash - DB - EUR,A,active,,,,
,4,101102,101102,Cash - DB - GBP,A,active,,,,
,4,101103,101103,Cash - DB - USD,A,active,,,,
,4,101104,101104,Cash - DB - JPY,A,active,,,,
,4,101204,101204,Settlements in Transit,A,active,,,,
,4,101205,101205,Unidentified Receipts,A,active,,,,
,4,101206,101206,Cash Clearing Account,A,active,,,,
,4,101270,101270,"Transfer Between Bank Accounts, Clearing Account",A,active,,,,
,4,101800,101800,Paypal/Escrow Cash,A,active,,,,
,4,101950,101950,Petty Cash - USD,A,active,,,,
,4,101951,101951,Petty Cash - GBP,A,active,,,,
,4,101952,101952,Petty Cash - EURO,A,active,,,,
,4,101990,101990,Investment < 90 Days (Cash Equivalent),A,active,,,,
,4,101991,101991,Investment < 60 Days (Cash Equivalent),A,active,,,,
,4,101999,101999,Investment - Flexible FD (Cash Equivalent),A,active,,,,
,4,102900,102900,Other Investments ,A,active,,,,
,4,103000,103000,A/R - Gross,A,active,,,,
,4,103005,103005,Trade A/R - JE,A,active,,,,
,4,103010,103010,A/R - Promissory Notes,A,active,,,,
,4,103015,103015,A/R Promissory Notes Clearing,A,active,,,,
,4,103020,103020,A/R - Uninvoiced Revenue,A,active,,,,
,4,103100,103100,A/R - Allowance,A,active,,,,
,4,103110,103110,A/R - Allowance Sales and Returns,A,active,,,,
,4,104000,104000,Notes Receivable,A,active,,,,
,4,104100,104100,Uninvoiced Service contract,A,active,,,,
,4,104400,104400,Salary Advance & Temp Payroll,A,active,,,,
,4,104410,104410,Travel/Other Advances,A,active,,,,
,4,104420,104420,Advances - Inventory,A,active,,,,
,4,104430,104430,Advances of Fixed Assets,A,active,,,,
,4,104440,104440,Advances of Current Assets,A,active,,,,
,4,104510,104510,Employee Micro Financing,A,active,,,,
,4,104520,104520,Interest & Taxes on Officer Notes,A,active,,,,
,4,104600,104600,VAT on Import/Import Consumption Tax Receivable,A,active,,,,
,4,104640,104640,VAT on Prepayments,A,active,,,,
,4,104650,104650,BV 0% Exempt  Purchases,A,active,,,,
,4,104651,104651,BV 0% Extra EU  Purchases,A,active,,,,
,4,104652,104652,BV 0% Intra EU  Purchases,A,active,,,,
,4,104653,104653,BV 19% Domestic  Purchases,A,active,,,,
,4,104654,104654,BV 6% Domestic  Purchases,A,active,,,,
,4,104655,104655,DE 0% Exempt  Purchases,A,active,,,,
,4,104656,104656,DE 0% Extra EU  Purchases,A,active,,,,
,4,104657,104657,DE 0% Intra EU  Purchases,A,active,,,,
,4,104658,104658,DE 16% 80% Recoverable  Purchases,A,active,,,,
,4,104659,104659,DE 16% Domestic  Purchases,A,active,,,,
,4,104660,104660,DE 7% Domestic  Purchases,A,active,,,,
,4,104661,104661,FR 0% Exempt Purchases,A,active,,,,
,4,104662,104662,FR 0% Extra EU Purchases,A,active,,,,
,4,104663,104663,FR 0% Intra EU Purchases,A,active,,,,
,4,104664,104664,FR 19.6% Domestic Purchases,A,active,,,,
,4,104665,104665,FR 2.1% Domestic Purchases,A,active,,,,
,4,104666,104666,FR 5.5% Domestic Purchases,A,active,,,,
,4,104678,104678,UK 0% Exempt Purchases,A,active,,,,
,4,104679,104679,UK 0% Purchases,A,active,,,,
