gl_journal_line_id,gl_journal_header_id,line_num,status,line_type,description,code_combination_id,total_dr,total_cr,total_ac_dr,total_ac_cr,reference_type,reference_key_name,reference_key_value,ef_id
,2,1,U,,,501-502-0000-100010-3100-501,400000,,400000,,,,,
,2,2,U,,,501-502-0000-101011-3100-501,4000,,4000,,,,,
,2,3,U,,,501-502-0000-101102-3100-501,400000,,400000,,,,,
,2,4,U,,,501-502-0000-101103-3100-501,20000,,20000,,,,,
,2,5,U,,,501-502-0000-101950-3100-501,20000,,20000,,,,,
,2,6,U,,,501-502-0000-101950-3100-501,12000,,12000,,,,,
,2,7,U,,,501-502-0000-103000-3100-501,30000,,30000,,,,,
,2,8,U,,,501-502-0000-103005-3100-501,60000,,60000,,,,,
,2,9,U,,,501-502-0000-103100-3100-501,90000,,90000,,,,,
,2,10,U,,,501-502-0000-103110-3100-501,45000,,45000,,,,,
,2,11,U,,,501-502-0000-104000-3100-501,2000,,2000,,,,,
,2,12,U,,,501-502-0000-104500-3100-501,12000,,12000,,,,,
,2,13,U,,,501-502-0000-105000-3100-501,300000,,300000,,,,,
,2,14,U,,,501-502-0000-105100-3100-501,60000,,60000,,,,,
,2,15,U,,,501-502-0000-105200-3100-501,90000,,90000,,,,,
,2,16,U,,,501-502-0000-105300-3100-501,45000,,45000,,,,,
,2,17,U,,,501-502-0000-105480-3100-501,2000,,2000,,,,,
,2,18,U,,,501-502-0000-105500-3100-501,,80000,,80000,,,,
,2,19,U,,,501-502-0000-105510-3100-501,7000,,7000,,,,,
,2,20,U,,,501-502-0000-110000-3100-501,800000,,800000,,,,,
,2,21,U,,,501-502-0000-110010-3100-501,1200000,,1200000,,,,,
,2,22,U,,,501-502-0000-110030-3100-501,70000,,70000,,,,,
,2,23,U,,,501-502-0000-110070-3100-501,30000,,30000,,,,,
,2,24,U,,,501-502-0000-110096-3100-501,45000,,45000,,,,,
,2,25,U,,,501-502-0000-110500-3100-501,400000,,400000,,,,,
,2,26,U,,,501-502-0000-110500-3100-501,,120000,,120000,,,,
,2,27,U,,,501-502-0000-112000-3100-501,30000,,30000,,,,,
,2,28,U,,,501-502-0000-112520-3100-501,60000,,60000,,,,,
,2,29,U,,,501-502-0000-113000-3100-501,90000,,90000,,,,,
,2,30,U,,,501-502-0000-113500-3100-501,45000,,45000,,,,,
,2,31,U,,,501-502-0000-114000-3100-501,2000,,2000,,,,,
,2,32,U,,,501-502-0000-114500-3100-501,7000,,7000,,,,,
,2,33,U,,,501-502-0000-200010-3100-501,,400000,,400000,,,,
,2,34,U,,,501-502-0000-212000-3100-501,,20000,,20000,,,,
,2,35,U,,,501-502-0000-220000-3100-501,,35000,,35000,,,,
,2,36,U,,,501-502-0000-221050-3100-501,,42000,,42000,,,,
,2,37,U,,,501-502-0000-221100-3100-501,,39500,,39500,,,,
,2,38,U,,,501-502-0000-221100-3100-501,,663000,,663000,,,,
,2,39,U,,,501-502-0000-221300-3100-501,,41600,,41600,,,,
,2,40,U,,,501-502-0000-221350-3100-501,,43700,,43700,,,,
,2,41,U,,,501-502-0000-231000-3100-501,,45800,,45800,,,,
,2,42,U,,,501-502-0000-231050-3100-501,,470900,,470900,,,,
,2,43,U,,,501-502-0000-231710-3100-501,,50000,,50000,,,,
,2,44,U,,,501-502-0000-231950-3100-501,,52100,,52100,,,,
,2,45,U,,,501-502-0000-235000-3100-501,,54200,,54200,,,,
,2,46,U,,,501-502-0000-235100-3100-501,,56300,,56300,,,,
,2,47,U,,,501-502-0000-235200-3100-501,,58400,,58400,,,,
,2,48,U,,,501-502-0000-236000-3100-501,,60500,,60500,,,,
,2,49,U,,,501-502-0000-239200-3100-501,,62600,,62600,,,,
,2,50,U,,,501-502-0000-239250-3100-501,,64700,,64700,,,,
,2,51,U,,,501-502-0000-239300-3100-501,,66800,,66800,,,,
,2,52,U,,,501-502-0000-255000-3100-501,,68900,,68900,,,,
,2,53,U,,,501-502-0000-256000-3100-501,,71000,,71000,,,,
,2,54,U,,,501-502-0000-260000-3100-501,,73100,,73100,,,,
,2,55,U,,,501-502-0000-261000-3100-501,,75200,,75200,,,,
,2,56,U,,,501-502-0000-262000-3100-501,,77300,,77300,,,,
,2,57,U,,,501-502-0000-263000-3100-501,,79400,,79400,,,,
,2,58,U,,,501-502-0000-320000-3100-501,,81500,,81500,,,,
,2,59,U,,,503-502-0000-380300-3100-501,,1155200,,1155200,,,,
,2,60,U,,,511-502-0000-360000-3100-501,,85700,,85700,,,,
,2,61,U,,,512-502-0000-350000-3100-501,,83600,,83600,,,,
