sys_value_group_line_id,sys_value_group_header_id,code_value,code,description,account_qualifier,status,parent_cb,parent_line_id,effective_start_date,effective_end_date
,4,500000,500000,Salaries and Benefits,E,active,,,,
,4,510000,510000,Salaries,E,active,,,,
,4,511000,511000,Regular Salaries,E,active,,,,
,4,512000,512000,Overtime,E,active,,,,
,4,513000,513000,Holiday,E,active,,,,
,4,514000,514000,Shift Differential,E,active,,,,
,4,515000,515000,Specialty Pay,E,active,,,,
,4,516000,516000,PTO,E,active,,,,
,4,517000,517000,Accrued Salaries and Wages,E,active,,,,
,4,518000,518000,Accrued Sick and Vacation,E,active,,,,
,4,520000,520000,Employee Benefits,E,active,,,,
,4,521000,521000,FICA - Employer,E,active,,,,
,4,522000,522000,FUTA - Federal Unemployment Tax,E,active,,,,
,4,523000,523000,SUI - State Unemployment Insurance,E,active,,,,
,4,524000,524000,Other Employer Taxes,E,active,,,,
,4,525000,525000,Accrued Payroll Taxes,E,active,,,,
,4,526000,526000,Group Health Insurance,E,active,,,,
,4,527000,527000,Dental Insurance,E,active,,,,
,4,529000,529000,Short Term Disability Insurance,E,active,,,,
,4,530000,530000,Long Term Disability Insurance,E,active,,,,
,4,531000,531000,Life Insurance,E,active,,,,
,4,532000,532000,Retirement Plan,E,active,,,,
,4,533000,533000,Flex Credits,E,active,,,,
,4,534000,534000,Flex Benefits-Pre Tax,E,active,,,,
,4,535000,535000,Flex Benefits-Post Tax,E,active,,,,
,4,536000,536000,Workers Compensation,E,active,,,,
,4,537000,537000,Tuition Reimbursement,E,active,,,,
,4,538000,538000,Recruiting Expense,E,active,,,,
,4,539000,539000,Misc. Employee Benefits,E,active,,,,
,4,540000,540000,Cost External Sales,E,active,,,,
,4,540005,540005,Cost External Sales - JE Account,E,active,,,,
,4,540050,540050,Cost External Service,E,active,,,,
,4,540055,540055,Cost External Service - JE Account,E,active,,,,
,4,541000,541000,Cost Intergroup,E,active,,,,
,4,542000,542000,Cost Intragroup,E,active,,,,
,4,542050,542050,Cost Intragroup Service,E,active,,,,
,4,542500,542500,Intercompany PPV,E,active,,,,
,4,544500,544500,Capitalized Variance,E,active,,,,
,4,545000,545000,Purchase Price Variance,E,active,,,,
,4,545005,545005,CM Consign PPV,E,active,,,,
,4,545010,545010,InterOrg PPV,E,active,,,,
,4,545020,545020,FX Price Variance,E,active,,,,
,4,545050,545050,Invoice Price Variance,E,active,,,,
,4,545055,545055,Supplier OT/Exception Fees,E,active,,,,
,4,545060,545060,Standards Change Variance,E,active,,,,
,4,545100,545100,Material Work Order Variance,E,active,,,,
,4,545110,545110,Lab Work Order Variance,E,active,,,,
,4,545120,545120,Work Order Variance,E,active,,,,
,4,545130,545130,Machine Work Order Variance,E,active,,,,
,4,545135,545135,Outside Processing Variance,E,active,,,,
,4,545140,545140,Evaluation Variance,E,active,,,,
,4,545145,545145,Overhead variance,E,active,,,,
,4,545200,545200,Scrap,E,active,,,,
,4,545300,545300,Cycle Count Variance,E,active,,,,
